"Autor","Titulo","Cantidad","No. Dewey","Fecha","ISBN","tema","Info de publicación","Notas"
"Grant, Myrna","Iván y la Biblia Escondida","1","N Fic Gra",,,"Niños","Editorial Betania",
"Grant, Myrna","Iván y la Estrella de David","1","N Fic Gra",,,"Niños","Editorial Betania",
"Grant, Myrna","La Jornada","1","298.43 Gra",,,"Biografía","Editorial Betania",
"Grau, Jose","Aquí va la Respuesta","2","220.62 Gra",,,"Preguntas de la Biblia","Ediciones Evangélicas Europeas",
"Grau, Jose","Ha Hablado Dios?","1","231 Gra",,,"Dios","Ediciones Evangélicas Europeas",
"Graves, Guillermo","Ensenanza y Capacitacion en su Iglesia","1","268.3 Han","1987",311110436,"educacion cristiana,iglesia,ensenanza","Casa Bautista de Publicaciones (1987), Paperback, 160 pages",
"Graves, Helen Cannan","Conoce tu Biblia","2","220 Gra",,,"Biblia","Casa Bautista de Publicaciones",
"Green, Michael","Jesús Vive hoy",3,"232.5 Gre",,,"Vida de Cristo",,
"Greenway, Rogelio S.","Una Estrategia Urbana para Evangelizar a América Latina","1","266.38 Gre",,,"Misiones","Casa Bautista de Publicaciones",
"Gregory, Laverne","Evangelize con la Página Impresa","1","248.5 Lav",,,"Evangelismo","Casa Bautista de Publicaciones",
"Grice, Homero L.","La Escuela Bíblica de Vacaciones","1","268.42 Gri",,,"Escuelitas de Verano","Casa Bautista de Publicaciones",
"Grounds, Vernon","El Evangelio y los Problemas Emocionales","1","269.1 Gro",,,"Consejería","Clie",
"Grupe, Heinrich","Los Niños Descubren la Naturaleza","1","268.4 Gru",,,"Pedagogía","Ediciones Paulina",
"Guiles, James E.","De Pastor a Pastor","1","253.1 Gui",,,"Ética Pastoral","Casa Bautista de Publicaciones",
"Guinea, Wilfredo","Voy Hacia Dios","1","282   Gui",,,"Catecismo","Editorial ""El""",
"Guisande, G. Sánchez","Breve Historia de la Medicina","1","610  Gui",,,"Historia de la Medicina","El Ateneo Editorial",
"Gute, Wayne","Las Notas del Maestro","3","220.5 Gut",,,"Comentario sobre la Biblia Scofield","Spanish Publications",
"Guthrie, Donald","Nuevo Comentario Biblico",1,"220.7 Gut",1986,311030017,"comentario biblico","Casa Bautista de Publicaciones (1986), Paperback, 972 pages",
"Gutierrez, Martin M.","Zuinglio- Antología","1","298.1 Mar",,,"Biografías","Producciones Editoriales del Nordest",
"Guzmán G., J. Concepción","Bosquejo de Sermones, Tomo I","1","252.1 Pat",,,"Sermones","Casa Bautista de Publicaciones",
"H., D. E.","Las Sedicientes Religiones","1","290 DEH",,,"Sectas","Junta Bautista de Publicaciones",
"Hale, Clarence B.","Estudiemos Griego","1","220.33 Hal",,,"Griego,","Editorial Caribe",
"Haley, John W.","Diccionario De Dificultades y Aparentes Contradicciones Biblicas","1","220.3 Hal","1989","847645323X","diccionario biblico,referencia","Editorial Clie (1989), Hardcover",
"Halley, Henry H.","Compendio Manual De LA Bible","1","220.7 Hal","1985","031103666X","comentario bíblico","Casa Bautista of Pubns (1985), Hardcover",
"Ham, Ken","Evangelismopara El Nuevo Milenio: Utilizando La Creacion Para El Mundohoy",2,"269 Ham",2003,890513481,"evangelismo","MasterBooks (2003), Paperback, 176 pages",
"Hamilton, Gavin","El Discurso Del Monte Olivete","1","232.951 Ham",,,"Monte de los Olivos",,
"Hamilton, Gavin","Maranatha","1","236 Ham",,,"Escatología","CLIE","donado por Tap Y Katie Hornor, 2008"
"Handford, Elizabeth","Yo? Obedecer a mi marido?","1","221 Han","1984",825413028,"mujeres, esposa, matrimonio","Editorial Portavoz (1984), Paperback, 128 pages",
"Hanna, Kenneth R.","Hasta que todos Lleguemos","1","248.7 Han",,,"Discipulado","Ediciones las Américas",
"Harlow, R. E.","Puede el Hombre conocer a Dios (con cuaderno de exámenes)","5","220.62 Har",,,"Preguntas de la Biblia","Páginas Orientadoras",
"Harrel, Guillermos","Proyectos para Mejores Templos",2,"262.2 Har",,,"Organización de Iglesia","Casa Bautista de Publicaciones",
"Harrell, Irena Burk","17 Milagros","1","231.7 Har",,,"Milagros","Editorial Vida",
"Harrison, Everett F.","Comentario Bíblico Moody: Nuevo Testamento","1","220.7 Har","2003","031103070X","comentario bíblico, nuevo testamento,","Casa Bautista de Publicaciones (2003), Hardcover, 576 pages",
"Harrop, Clayton","La Epístola de Santiago","1","227.91 Har",,,"Santiago","Casa Bautista de Publicaciones",
"Hartill, J. Edwin","Manual de Interpretación Bíblica","1","220.6 Har",,,"Hermenéutica","Ediciones de las Américas",
"Harty, Robert & Annelle","Creado Para Crecer","1","265.9 Har",,,"familia,hijos,","editorial Mundo Hispano",
"Harvey, H.","El Pastor","3","253 Har",,,"Officio Pastoral","Casa Bautista de Publicaciones",
"Harvey, H.","La Iglesia: Su Forma De Gobierno y Ordenanzas",1,"262.4 Har",1986,,"iglesia,organizacion de iglesia","Casa Bautista de Publicaciones (1986), Paperback",
"Hawkins, Tomas","Homilética Práctica","1","251 Haw","2003",311420419,"homiletica","Casa Bautista de Publicaciones (2003), Paperback, 96 pages",
"Hegel, Jorge","Las Pruebas de la Existencia de Dios","1","239 Heg",,,"Apología","Editorial Alameda",
"Hegre, T. A.","La Vida que Nace de la Muerte","1","248 Heg",,,"Vida Cristiana","Editorial Betania",
"Hendricks, Howard G.","Dilo con Amor","1","248.5 Hen",,,"Evangelismo","Ediciones las Américas",
"Hendricks, Howard G.","Enseñando para Cambiar Vidas","2","268.4 Hen",,,"Enseñanza","Editrorial Unilit",
"Hendriksen, William","Comentario 1/2 Timoteo - Tito (Hendricksen)",1,"227.833 Hen",2000,1558830391,"timoteo, tito","Libros Desafío (2000), Hardcover",
"Hendriksen, William","Comentario Al Nuevo Testamento : Colosenses/Filemón","1","227.8 Hen","1982",1558830448,"colosenses,filemon","Libros Desafío (1982), Hardcover",
"Hendriksen, William","Comentario Al Nuevo Testamento : el evangelio según San Lucas",1,"226.5 Hen",1990,,"evangelios, lucas","Subcomision Literatura Cristiana (1990), Paperback",
"Hendriksen, William","Comentario Al Nuevo Testamento : Filipenses","1","227.6 Hen","1981",1558830421,"filipenses","Libros Desafío (1981), Paperback",
"Hendriksen, William","Comentario Efesios (Hendricksen)","1","227.5 Hen","2000",1558830456,"efesios, comentario bíblico","Libros Desafío (2000), Hardcover","donado por Tap Y Katie Hornor, 2008"
"Hendriksen, William","Comentarios 1/2 Tesalonicenses (Hendricksen)",1,"227.81 Hen",2000,1558830405,"tesalonicenses","Libros Desafío (2000), Hardcover",
"Hendriksen, William","Comentarios Gálatas","1","227.4 Hen","2000",1558830464,"gálatas, comentario bíblico","Libros Desafío (2000), Hardcover",
"Hendriksen, William L.","Epístola de Juan","1","227.94 Hen",,,"Epístolas de Juan","Casa Bautista de Publicaciones",
"Hendrix, W. L.","Las Epistolas de Juan","1","220.61 Hen","2003",311043321,"estudio biblico","Casa Bautista de Publicaciones (2003), Paperback, 128 pages",
"Henry, Mathew","Comentario De La Biblia Por Mathew Henry (Spanish Edition)",1,"200 Hen",1999,"[078990540X]","comentario,Biblia,Viejo Testamento, Nuevo Testamento","Editorial Unilit (1999), Hardcover, 1064 pages",
"Henry, Matthew","Comentario Bíblico (Juan)","1","220.7 Hen",,,"Comentario de la Biblia","Clie",
"Henry, Matthew","Comentario Bíblico (Libros Históricos ) (1 Reyes a Esterl)","1","220.7 Hen",,,"Comentario de la Biblia","Clie",
"Henry, Matthew","Comentario Bíblico (Libros Históricos ) (Josué a Samuel)","1","220.7 Hen",,,"Comentario de la Biblia","Clie",
"Henry, Matthew","Comentario Bíblico (Libros Poéticos I) (Salmos)","1","220.7 Hen",,,"Comentario de la Biblia","Clie",
"Henry, Matthew","Comentario Bíblico (Libros Poéticos II) (Proverbios, Eclesiastes, Cantares)","1","220.7 Hen",,,"Comentario de la Biblia","Clie",
"Henry, Matthew","Comentario Bíblico (Marcos y Lucas)","1","220.7 Hen",,,"Comentario de la Biblia","Clie",
"Henry, Matthew","Comentario Bíblico (Mateo)","1","220.7 Hen",,,"Comentario de la Biblia","Clie",
"Henry, Matthew","Comentario Bíblico (Pentateuco)","1","220.7 Hen",,,"Comentario de la Biblia","Clie",
"Hensel, M. G.","El Conocimiento Que Lleva a Vida Eterna",1,"291 Hen",1995,"[]","testigos de Jehova,sectas","watchtower (1995), Paperback",
"Hensel, M. G.","Existe Un Creador Que Se Interese Por Nosotros?","1","291 Hen","1998","[]","testigos de Jehova,sectas","watchtower (1998), Paperback",
"Herman, Charlotte","Abuelos y Nietos","1","268.4 Her",,,"Pedagogía","Ediciones Paulina",
"Hernández Herra, M. Ángel","Volibol, Deporte para Todos","1","796  Her",,,"Voleibol","Compañía General de Ediciones S.A.",
"Hernandez, Rudy","Sermones y Biografías de Rudy Hernández","1","298.73 Her",,,"Biografía","Casa Bautista de Publicaciones",
"Hershey, Katherine","Comienzos (Textos para Maestros de Niños)","1","268.432  Her               ","1951",,"Texto para Maestro de Niños","CEF Press",
"Hershey, Katherine","La Vida de Cristo Tomo 1 (Textos para Maestros de Niños)","1","268.432   Her Vol. 1","1949",,"Texto para Maestro de Niños","CEF Press",
"Hershey, Katherine","La Vida de Cristo Tomo 2 (Textos para Maestros de Niños)","1","268.432  Her   Vol. 2","1949",,"Texto para Maestro de Niños","CEF Press",
"Hession, Roy","El Camino del Calvario / The Calvary Road","1","248 He","2004",9589149111,"vida cristiana","Ballantine Books (2004), Paperback, 160 pages",
"Hester, H. I.","Introduccion Al Estudio del Nuevo Testamento",1,"225 Hes",2003,311043305,"nuevo testamento","Casa Bautista de Publicaciones (2003), Paperback, 368 pages",
"Hillaire, P. A.","La Religión Demostrada","1","282 Hil",,,"Catolicismo","Editora Latino Americana, S. A.",
"Hills, Dave","Dios es muy Grande?","1","265.9 Hil",,,"Crianza de Niños","CLIE",
"Hodge, Charles","Teología Sistemática, vol. 2","4","230 Hod Vol II","2005",8482673556,"teologia","Editorial Clie (2005), Paperback, 648 pages",
"Hodge, Charles","Teologia Sistematica-I (Hodge)","4","230 Hod Vol I","1999",8482673548,"teologia","Editorial Clie (1999), Paperback",
"Hoekema, Antonio A.","EL Adventismo del Séptimo Día","1","290 Hoe",,,"Adventistas","Subcomisión Literatura Cristiana",
"Hoekema, Antonio A.","EL Mormonismo","1","292 Hoe",,,"Mormonismo","Subcomisión Literatura Cristiana",
"Hoekema, Antonio A.","Testigo de Jehová","1","291     Nel",,,"Testigos de Jehová","Subcomisión Literatura Cristiana",
"Hof, Pablo","Libros Poeticos","1","220 Hof","1998","082971510x","Biblia","Editorial Vida",
"Hoff, Pablo","Pastor como Consejero, El",5,"253.3 Hof",1981,829706402,"officio pastoral","Vida (1981), Edition: Spanish, Paperback, 228 pages",
"Hoff, Pablo","Se Hizo Hombre",2,"226 Hof",1990,829710272,"vida de Cristo","Vida (1990), Edition: Spanish, Paperback, 324 pages",
"Homer","El Declamador Sin Maestro","1","800 Hom","1964","[]","poesia","Divulgacion (1964), Edition: 1st, Paperback",
"Homero,","La Odisea","1","Fic Hom",,,"Ficción","Publicaiones Cruz Osa",
"Honeycutt, Roy L.","Jermías: Testigo Audaz","1","224.2 Hon",,,"Jeremías","Casa Bautista de Publicaciones",
"Hook, Richard","Jesús: El Amigo de los Niños","1","N 232  Hoo",,,"Niños","Editorial Mundo Hispano",
"Hovey, Alvah","Comentario Expositivo sobre el Nuevo Testamento, 1 Corintios a 2 Tesalonicenses","1","227 Hov",,,"1 Corintios y 2 Tesalonicenses","Casa Bautista de Publicaciones",
"Hovey, Alvah","Comentario Expositivo sobre el Nuevo Testamento, Juan","1","226.5 Hov",,,"Juan","Casa Bautista de Publicaciones",
"Huegel, F. J.","Secretos de la Oracion",1,"264.1 Hue",1986,,"oracion","Editorial Portavoz (1986), Paperback, 123 pages",
"Hugo, Victor","Los Miserables","1","8473.7 Hug","1985",8432039438,"Literatura en Español","Editorial Porrúa",
"Hultquist, Lee","Decepción Siguieron al Flautista, la Verdad Sobre los Niños de Dios","1","290  Hul",,,"Sectas","CLIE",
"Hume, Roberto E.","Las Religiones Vivas","1","294 Hum",,,"Religiones","Editorial Verdad",
"Hunt, Dave","Seduccion de la Cristiandad","2","290 Hun",,,"Apostasía","Publicaciones Portavoz  Evangélico",
"Hurlbut, Jesse Lyman","Historia de la Iglesia Cristiana",3,"270 Hur",1999,"[0829720030]","historia cristiana","Vida (1999), Edition: Spanish, Hardcover, 206 pages",
"Hurlock, Elizabeth B.","Desarrollo del Niño","1","258 Hur",,,"Psicología Infantil","McGraw Hill",
"Hurst, J. F","Historia compendiada de la iglesia cristiana,","2","270 Hur","1901","[]","historia de la iglesia","Estados Unidos, Casa editorial de la Iglesia Metodista Episcopal del Sur,4 (1901), Unknown Binding",
"Hutson, Curtis","El Cristiano de 100%","1","248  Hut",,,"Crecimiento Cristiano",,
"Hyles, Jack","Salvación","11","243  Hyl",,,"Escritos Evangelísticos para testificar","La Espada",
"Iglesia Presbiteriana de México","Catecismo Mayor de Westminster","1","238 Pres",,,"Catecismo","Publicaciones EL Faro",
"Inchofer, Melchor","La Monarquía Jesuita","1","282  Inc",,,"Catolicismo","F. Sempere y Compañía, Editores",
"Ironside, H. A.","Estudio sobre Santiago y 1 y 2 de Pedro","1","227.9 Iro",,,"Santiago, 1y2 Pedro","Clie",
"Ironside, H. A.","Grandes Palabras del Evangelio","2","234 Iron",,,"Salvación y Gracia","Editorial Moody",
"Ironside, H. A.","Navegando con San Pablo","1","248.7  Iro",,,"Pláticas Sencillas para Nuevos Creyentes","Loizeaux Brothers",
"Iserte, Salvador","El Encanto Femenino",2,"265.7 Ise",,,"Mujeres","CLIE",
"Jaimeson, Robert","Comentario Exegético, Tomo I","2","220.7 Jai   Vol. 1",,,"Comentario de la Biblia","Casa Bautista de Publicaciones",
"Jakes, T. D.","Así que tú te llamas un hombre?..Finalmente…Un devocional para los hombres corrientes, pero con potencial extraordinario","1","242.1 Jak",,,"Devocional/Hombre","Editoyrial Unilit",
"Jamieson, Roberto","Comentario Exegético Y Explicativo De La Biblia. Tomo II: El Nuevo Testamento","2","220.7 Jai Vol II","1989",,"comentario bíblico","Casa Bautista de Publicaciones (1989), Edition: 11th, Hardcover, 832 pages",
"Jensen, Irving","Josue: la tierra de reposo, conquistada: Joshua: Rest-Land Won (Comentario bIblico P)","2","220 Jen","1980",825413532,"josue","Editorial Portavoz (1980), Paperback, 120 pages",
"JimÃ©nez, Carlos","Crisis en la Teología Contemporánea","2","230.04 Jim","1994",829719474,"teologia contemporanea","Vida (1994), Edition: Ed. rev, Paperback, 224 pages",
"Johnson de McGavock, Catalina","Actividades Manuales para Niños","1","268.432  Joh",,,"Manualidades para Niños","Casa Bautista de Publicaciones",
"Jones, E. Stanley","Cristo y el Comunismo","1","261  Jon",,,"Comunismo","Editorial Mundo Hispano",
"Jones, J. Estill","Hechos: Colaborando en la Misión de Corinto","1","226.6 Jon",,,"Hechos","Casa Bautista de Publicaciones",
"Jordan, Bernice C.","Pasos de Fe a Través de Hechos y las Epístolas","1","268.432   Jor",,,"Hechos y las Epístolas","The Bible Club Movement",
"Jorquera, Laura","La Iglesia Cristiana","1","270 Jor",,,"Historia del Cristianismo","El Comité Central",
"Josefo (Josephus),Flavio","Antigüedades De Los Judíos Tomo","1","229 Jos","1988",8476451296,"periodo intertestamentario",,
"Josefo (Josephus),Flavio","Guerra de Los Judios II y Destruccion del Templo",2,"909 Jos",1995,8470822446,"periodo intertestamentario","Iberia (1995), Paperback",
"Josefo (Josephus),Flavio","Las Guerras De Los JudÃ­os Tomo I","2","909 Jos","2008","847228753X","periodo intertestamentario","Clie (2008), Paperback, 336 pages",
"Josefo, Flavio","Antigüedades de los Judíos, Tomo II","1","229    Jos",,,"El Período Intertestamentario","Clie",
"Josefo, Flavio","Antigüedades de los Judíos, Tomo III","1","229   Jos",,,"El Período Intertestamentario","Clie",
"Judson, Eduardo","Biografía de Adoniram Judson","3","298.59 Jud",,,"Biografía",,
"Junta Bautista de Publicaciones","Pensamiento Cristiano","1","248   Jun",,,"Vida Cristiana","Editorial y Librería ""El Amanecer""",
"Keller, Hellen","Hellen Keller: La Historia de Mi Vida","1","298.73 Kel",,,"Biografía","Editores Asociados",
"Kittel, R.","Biblia Hebraica","1","220 Kit","1990",3438052180,"Biblia","Gesamtherstellung Biblia'Druck",
"Koopman, Leroy","Salón de Belleza para los Ojos","1","248 Koo",,,"Vida Cristiana","CLIE",
"Kuhn, Isobel","Una Hoja Verde en Tiempo de Sequía","1","298.51 Kuh",,,"Biografía","Publicaciones Portavoz  Evangélico",
"Kuiper, R. B.","Evangelismo Teo-Céntrico","1","248.5 Kui",,,"Evangelismo","Tell",
"Kunz, Marilyn","Evangelio Según San Lucas","1","226.4 Kun",,,"Lucas","Editorial Caribe",
"Kunz, Marilyn","Se encontraron con Jesús","1","268.431 Kun",,,"Lecciones sobre Jesús","Editorial Caribe",
"Kuyper","Mujeres Del Antiguo Testamento",2,"257 Kuy",2008,8472288412,"mujeres,personajes biblicos,","Clie (2008), Paperback, 144 pages",
"Kuyper, Abraham","Mujeres del Nuevo Testamento","1","257  Kuy",,,"Mujeres del Nuevo Testamento","CLIE",
"Lacueva, Francisco","Nuevo Testamento Interlineal Griego-Espanol","1","220.4 Lac",,,"nuveo testamento, griego","Clie",
"Lacy, G. H.","Comentario sobre la Epístola a los Efesios","1","227.5 Lac",,,"Efesios","Casa Bautista de Publicaciones",
"Lacy, G. H.","Introducción a la Teología Sistemática","3","230    Lac","1972",,"Teología","Casa Bautista de Publicaciones",
"Lacy, G. H.","Manual de Teología Sistemática","1","230   Lac  ","1941",,"Teología",,
"LaHaye, Tim","Cómo Estudiar La Biblia Por Sí Mismo","6","220.61 LaH","1992",881130427,"estudio bíblico","Grupo Nelson (1992), Paperback, 192 pages",
"LaHaye, Tim","Cómo Vencer la Depresión","1","248 LaH","1975","[0829705155]","depresion,consejeria","Vida (1975), Edition: Spanish, Paperback, 252 pages",
"Laidlaw, Roberto","La Razón Por Qué","1","248.5 Lai",,,"Evangelismo","La Casa Biblica de Los Angeles",
"Latourette, Kenneth Scott","Historia del Cristianismo, Tomo 1","1","270 Lat Vol. I","1997","[0311150101]","historia cristiana","Casa Bautista de Publicaciones (1997), Paperback",
"Laurencena Pasquet, Lydia Beatriz","Regla de Oro","1","N Fic Lau",,,"Niños Ficción","Editorial Evangélica Bautista",
"Lawes, Frank A.","La Santidad del Sexo","1","265.3 Law",,,"Pureza","Impresiones Corona-Castillo, S.A.",
"Lay, Humberto","Discipulado",1,"268 Lay",2000,829728848,"educacion cristiana","Vida (2000), Edition: Spanish, Paperback, 320 pages",
"Lear, G. M. J.","Bosquejos para Discursos Evangelisticos","1","252.1 Lea",,,"Sermones","Librería Editorial Cristiana",
"LeBar, Lois","Llamados a enseñar","2","268.4 LeB","1976","[0899220061]","ensenanza","Editorial Caribe (1976), Edition: Reissue, Paperback, 160 pages",
"Lee, Witness","Lecciones de La Verdad, Nivel Uno, 3","1","220.7 Vol III","1988",870832972,"comentario biblico","Living Stream Ministry (1988), Paperback, 140 pages",
"Lee, Witness","Lecciones de La Verdad, Nivel Uno, Tomo 1",2,"220.7 Lee Vol I",1986,870832425,"comentario biblico","Living Stream Ministry (1986), Paperback, 184 pages",
"Lee, Witness","Leciones de la Verdad Nivel Uno, Tomo 2","1","220.7 Lee  Vol.2",,,"Comentario de la Biblia","Living Stream Ministry",
"Lerin, Alfredo","500 Ilustraciones: Ilustraciones","2","252.2 Ler","1966",311420370,"sermones","Colombia (1966), Paperback, 324 pages",
"Lerin, Alfredo","El Pastor Evangélico","1","253 Ler",,,"Officio Pastoral","Casa Bautista de Publicaciones",
"Lewis, Arthur","Jueces y Rut: Judges and Ruth (Everyman's Bible Commentary)",1,"220 Lew",1982,825414342,"jueces,rut","Editorial Portavoz (1982), Paperback, 128 pages",
"Lewis, C. S.","El Caballo y Su Muchacho","1","N Fic Lew",,,"Niños Ficción","Editorial Caribe",
"Lewis, C. S.","El leon, la bruja y el ropero",1,"813 Lew",2002,"[0007650132]","ficcion","Rayo (2002), Paperback, 208 pages",
"Lewis, C. S.","El Sobrino del Mago (NarniaÂ®)",1,"813 Lew",2005,"[0060884274]","ficcion","Rayo (2005), Paperback, 256 pages",
"Lewis, C. S.","Los Cuatro Amores","1","200 Lew","2006",61140058,"amor","Rayo (2006), Paperback, 160 pages",
"Lewis, Paul","Las tres caras del amor (Spanish Edition)",1,"265.8McD",1980,"[0789904616]",,"Grupo Nelson (1980), Paperback, 96 pages",
"Lewis, V. H.","Guía para el Obrero Cristiano","1","268.3 Han",,,"Obrero Cristiano","Casa Nazarena de Publicaciones",
"Leys, Lucas","500 Ideas para el ministerio juvenil","1","265.91 Ley","2005",829742646,"jóvenes,","Vida (2005), Paperback, 206 pages",
"Libros condensados.","Libros Condensados, Biblioteca de Selecciones",1,"800 Lib",1992,9682801648,"literatura","MÃ©xico : Selecciones del Reader's , 1992b.",
"Lievano R., M. Francisco","EL Libro Inmortal","1","220.61 Lie",,,"Cómo Estudiar la Biblia","Editorial Libertador",
"Lincoln, Abraham","EL Devocionario de Abraham Lincoln","1","242.1 Lin",,,"Devocionales Diarios","Editorial Verdad",
"Lindsey, Hal","La Generación Final",2,"234.2 Lin",,,"Esperanza","Publicaciones Portavoz  Evangélico",
"Lindsey, Hal","LA Liberacion Del Planeta Tierra",1,"224 Lin",1986,311138233,"salvacion,gracia","Casa Bautista of Pubns (1986), Paperback",
"Little, Paul E.","Cómo Compartir Su Fe",6,"248.5 Lit",1988,311130259,"evangelismo","Casa Bautista de Publicaciones (1988), Paperback, 144 pages",
"Livingston,","Comentario Bíblico ""Beacon"" , Tomo I","1","220.7 Liv  Vol. 1",,,"Comentario de la Biblia","Casa Nazarena de Publicaciones",
"Livingston,","Comentario Bíblico ""Beacon"" , Tomo II","1","220.7 Liv   Vol. 2",,,"Comentario de la Biblia","Casa Nazarena de Publicaciones",
"Livingston,","Comentario Bíblico ""Beacon"" , Tomo III","1","220.7 Liv  Vol. 3",,,"Comentario de la Biblia","Casa Nazarena de Publicaciones",
"Livingston,","Comentario Bíblico ""Beacon"" , Tomo IV","1","220.7 Liv   Vol. 4",,,"Comentario de la Biblia","Casa Nazarena de Publicaciones",
"Livingston,","Comentario Bíblico ""Beacon"" , Tomo V","1","220.7 Liv Vol. 5",,,"Comentario de la Biblia","Casa Nazarena de Publicaciones",
"Livingston,","Comentario Bíblico ""Beacon"" , Tomo VI","1","220.7 Liv   Vol. 6",,,"Comentario de la Biblia","Casa Nazarena de Publicaciones",
"Livingston,","Comentario Bíblico ""Beacon"" , Tomo VII","1","220.7 Liv  Vol. 7",,,"Comentario de la Biblia","Casa Nazarena de Publicaciones",
"Livingston,","Comentario Bíblico ""Beacon"" , Tomo VIII","1","220.7 Liv  Vol. 8",,,"Comentario de la Biblia","Casa Nazarena de Publicaciones",
"Livingston,","Comentario Bíblico ""Beacon"" , Tomo X","1","220.7 Liv  Vol. 10",,,"Comentario de la Biblia","Casa Nazarena de Publicaciones",
"Livingston,","Comentario Bíblico ""Beacon"" , TomoIX","1","220.7 Liv   Vol. 9",,,"Comentario de la Biblia","Casa Nazarena de Publicaciones",
"Lloyd G., Roberto","El Líder bajo Presión --- Estudios en  2 Corintios","1","256  Llo",,,"Liderazgo Cristiano","Ediciones las Américas",
"Lloyd-Jones, Martyn","La Vida En El Espiritu: En El Matrimonio, El Hogar y El Trabajo","1","248 Llo","1987",939125374,"vida cristiana,matrimonio,familia,hogar,esposo,esposa","Evangelical Literature League, the (1987), Paperback, 331 pages",
"Lockyer, Herbert","Apocalipsis: El Drama de los Siglos","1","228.07 Loc","1982",829712925,"apocalipsis","Vida (1982), Edition: Spanish, Paperback, 276 pages",
"Lockyer, Herbert","Enciclpoedia de Doctrinas Bíblicas","1","230  Loc",,,"Teología","LOGOI",
"Lockyer, Herbert","Todas las Mujeres de la Biblia","1","220.92 Loc","2004","[082974066X]","mujeres","Vida (2004), Paperback, 384 pages",
"Lopez Herrera, Misael","Manual de la Controversía","1","290   Lop",,,"Sectas","Librería Centroamericana",
"Lorca, Federico Garcia","Canciones Poemas Y Romances Para Niños",1,"800 Lor",1948,"[0439680972]","poesia, niños","Scholastic Inc. (1948), Unknown Binding",
"Lovet, C. S. \","Cómo Ganar Almas",2,"248.5 Lov",,,"Evangelismo","Cristianismo Personal",
"Lozano, Fortunato","Antonio I. Villarreal, vida de un gran mexicano",1,"920 Loz",1959,"[]","biografía, méxico","Monterrey, N.L. : Impr. Monterrey, 1959.",
"Lum, Ada","El Estudio Bíblico Creativo",3,"268.4 Lum",1977,"[]","ensenanza","Certeza Unida (1977), Paperback, 259 pages",
"Lum, Ada","Jesús el Radical","1","243 Lum",,,"Estudios sobre Jesús","Ediciones Certeza",
"Lund, E.","Epístola a los Gálatas","3","227.4 Lun",,,"Gálatas","Editorial Moody",
"Lund, E.","Hermenéutica","1","220.6 Lun",,,"Hermenéutica","Casa Evangelica de Publicaciones",
"Lund, E.","Hermenéutica, Introducción Bíblica",2,"220.6 Lun",1964,829705643,"hermeneutica","Vida (1964), Edition: Spanish, Paperback, 191 pages",
"Lyall, Leslie T.","Contra Viento y Marea","1","266.251 Lya",,,"Misiones","Editorial Moody",
"Lyon, David","Cristianismo y Sociología","1","258   Lyo",,,"Apología","Ediciones Certeza",
"M., C. H.","Estudio Sobre el Libro de Exodo","1","222.12 CHM",,,"Éxodo","Editorial ""Las Buenas Nuevas""",
"MacArthur, John","Cómo Obtener lo máximo de la palabra de Dios",1,"220.61 Mac",2003,9780825415104,"estudio bíblico","Editorial Portavoz",
"MacArthur, John","El Descubrmiento de la Predicación Expositiva","1","251 Mac",,,"Homilética","Editorial Caribe",
"MacArthur, John  ","El Poder de la Integridad / The Power of Integrity",2,"242 Mac",1999,825414687,"vida cristiana,integridad","Editorial Portavoz (1999), Paperback, 192 pages",
"MacArthur, John F. , Jr.","El Evangelio Segun Jesucristo / The Gospel According to Jesus","2","234.51 McA","2003",311091385,"salvacion,senorio de Cristo","Casa Bautista de Publicaciones (2003), Paperback, 256 pages",
"MacDonald, William","Cristo Amó a la Iglesia","1","262 Mac",,,"Eclesiología","Páginas Orientadoras",
"MacDonald, William","Sumario de la Biblia","1","220 Mac",,,"Estudio Biblico","Escuela Biblica Emmaus",
"MacGregor, Malcolm","Tu Y Tu Dinero","1","248.6 Mac","1984",881133698,"dinero,diezmo,negocio,mayordomia,","Editorial Betania (1984), Paperback, 160 pages",
"Machado, Luis Alberto","La revolución de la inteligencia (Biblioteca breve de bolsillo ; 131 : Libros de enlace)","1","218 Mac","1975",8432227323,"inteligencia humana","Seix Barral (1975), Edition: 1. ed, Unknown Binding, 156 pages",
"Mack, Wayne","Fortaleciendo el matrimonio: Strengthening Your Marriage",1,"291 Mac",1992,825414547,"matrimonio,esposo,esposa,familia","Editorial Portavoz (1992), Paperback, 176 pages",
"Mack, Wayne A.","Preparando el Matrimonio",1,"269.3 Mac",1998,1563220660,"matrimonio","Hensley Publishing",
"Mackenzie, M. M.","Natación","1","796 Mac",,,"Natación","Editores Asociados",
"Maddox, Harry","Cómo estudiar","1","268.6 Mad","1990","[842810722X]","motodo de estudio","Oikos-Tau (1990), Paperback",
"Maestre, Julio R.","Las Buenas Obras","3","248 Mae",,,"Buenas Obras","Ediciones Certeza",
"Mandao, Martha","Ani y la Ciudad","1","Fic  Man",,,"Ficción","Editorial Mundo Hispano",
"Mandino, Og","El milagro más grande del mundo",1,"268 Man",1975,,"dinero,mayordomia",,
"Mandino, Og","El Secreto Mas Grande Del Mundo","1","305 Man","1977",,"dinero,mayordomia",,
"Mandino, Og","El vendedor más grande del mundo, Vol I","1","813 Man Vol I",,,"dinero,mayordomia",,
